Vendor,Service Type,Contract ID,Service Inception,Region,Country,Contract Value,Service Risk Score,Service Risk Rating,Alternate Vendor,Reassessment Date,Reassessment Completion,Reassessment Status,Reassessment Due,KPIs Measured,Contract Compliance Risk,Open Regulatory Findings,Open Audit Findings,Unresolved Assessment Findings
Vend-87,Software Packages,Con-101,11/1/19,North America,USA," 32,139 ",12,High,No,10/31/20,11/30/20,Complete,Complete,No,Unknown - KPIs Not Measured,4,3,1
Vend-61,Insurance,Con-102,5/13/19,Europe,Germany," 90,695 ",10.5,High,No,5/12/20,6/11/20,Complete,Complete,No,Unknown - KPIs Not Measured,2,3,2
Vend-98,Hardware,Con-103,4/5/19,South America,Mexico," 108,545 ",8,Medium,Not Required,4/4/21,5/4/21,Past Due in 0-15 Days,-3,No,Unknown - KPIs Not Measured,5,4,0
Vend-54,Mail,Con-104,7/8/20,Asia,India," 23,560 ",8,Medium,Not Required,7/8/22,8/7/22,Due in > 30 Days,457,Yes,High,4,5,4
Vend-70,Technical Consulting,Con-105,3/13/19,North America,USA," 10,898 ",9,Medium,Not Required,3/12/21,4/11/21,Complete,Complete,Yes,Low,4,1,3
Vend-63,Engineering,Con-106,10/24/20,Europe,Holland," 43,126 ",11,High,No,10/24/21,11/23/21,Due in > 30 Days,200,No,Unknown - KPIs Not Measured,3,4,2
Vend-76,Stationary,Con-107,4/23/19,North America,USA," 99,207 ",8,Medium,Not Required,4/22/21,5/22/21,In Progress - Due in < 15 Days,15,No,Unknown - KPIs Not Measured,,3,0
Vend-57,Professional Services,Con-108,6/17/19,Asia,China," 56,392 ",10.5,High,No,6/16/20,7/16/20,Complete,Complete,No,Unknown - KPIs Not Measured,2,0,2
Vend-99,Legal,Con-109,7/31/19,Europe,England," 17,554 ",12,High,No,7/30/20,8/29/20,Complete,Complete,Yes,Low,4,5,2
Vend-54,Mail,Con-110,7/18/20,North America,USA," 36,908 ",10,High,No,7/18/21,8/17/21,Due in > 30 Days,102,Yes,Critical,3,0,2
Vend-82,Information Technology,Con-111,11/22/19,Europe,Holland," 44,404 ",7.5,Medium,Not Required,11/21/21,12/21/21,Due in > 30 Days,228,No,Unknown - KPIs Not Measured,5,4,0
Vend-56,Travel,Con-112,4/11/20,Europe,Belgium," 155,874 ",9,Medium,Not Required,4/11/22,5/11/22,Due in > 30 Days,369,No,Unknown - KPIs Not Measured,5,5,4
Vend-91,Administrative Suppport,Con-113,3/21/20,North America,USA," 133,958 ",9.5,Medium,Not Required,3/21/22,4/20/22,Due in > 30 Days,348,No,Unknown - KPIs Not Measured,0,2,5
Vend-62,Technical Consulting,Con-114,6/10/20,North America,USA," 143,927 ",9,Medium,Not Required,6/10/22,7/10/22,Due in > 30 Days,429,No,Unknown - KPIs Not Measured,2,5,0
Vend-82,Stationary,Con-115,3/27/20,North America,USA," 217,089 ",9.5,Medium,Not Required,3/27/22,4/26/22,Due in > 30 Days,354,Yes,Low,2,5,5
